co_code,name,symbol,scripcode
6,"ACC Ltd",ACC,500410
8,"Advance Petrochemicals Ltd",NULL,506947
9,"Aegis Logistics Ltd",AEGISLOG,500003
11,"Alfred Herbert (India) Ltd",ALFREDHERB,505216
14,"Ambalal Sarabhai Enterprises Ltd",AMBASARABH,500009
17,"Amrutanjan Health Care Ltd",AMRUTANJAN,590006
19,"Andhra Cements Ltd",ACL,532141
20,"Andhra Paper Ltd",ANDHRAPAP,502330
23,"Apollo Tyres Ltd",APOLLOTYRE,500877
24,"Utique Enterprises Ltd",APPLEIND,500014
25,"Aravali Securities & Finance Ltd",ARAVALISEC,512344
28,"Aruna Hotels Ltd",ARUNASUGAR,500016
29,"Arvind Ltd",ARVIND,500101
31,"Ashok Leyland Ltd",ASHOKLEY,500477
33,"Asian Hotels (North) Ltd",ASIANHOTNR,500023
34,"Asian Paints Ltd",ASIANPAINT,500820
37,"SKF India Ltd",SKFINDIA,500472
38,"Asi Industries Ltd",ASOCSTONE,502015
39,"Astrazeneca Pharma India Ltd",ASTRAZEN,506820
42,"Atlas Cycles (Haryana) Ltd",ATLASCYCLE,505029
43,"Atul Ltd",ATUL,500027
44,"Automobile Corporation Of Goa Ltd",AUTOCORP,505036
49,"Bagalkot Udyog Ltd",NULL,502125
50,"Bajaj Holdings & Investment Ltd",BAJAJHLDNG,500490
51,"Bajaj Electricals Ltd",BAJAJELEC,500031
53,"Force Motors Ltd",FORCEMOT,500033
54,"Sanathnagar Enterprises Ltd",BAKELHYLAM,509423
55,"Balkrishna Industries Ltd",BALKRISIND,502355
56,"Ballarpur Industries Ltd",BALLARPUR,500102
57,"Bannari Amman Sugars Ltd",BANARISUG,500041
58,"Baroda Rayon Corporation Ltd",BARODARAYN,500270
59,"BASF India Ltd",BASF,500042
60,"Bata India Ltd",BATAINDIA,500043
61,"Batliboi Ltd",BATLIBOI,522004
62,"Bayer CropScience Ltd",BAYERCROP,506285
64,"Berger Paints India Ltd",BERGEPAINT,509480
67,"Bhagawati Oxygen Ltd",NULL,509449
68,"Bharat Bijlee Ltd",BBL,503960
69,"Bharat Forge Ltd",BHARATFORG,500493
70,"Bharat Gears Ltd",BHARATGEAR,505688
76,"Bimetal Bearings Ltd",BIMETAL,505681
77,"Birla Corporation Ltd",BIRLACORPN,500335
79,"Bliss GVS Pharma Ltd",BLISSGVS,506197
81,"Blue Blends (India) Ltd",BLUEBLENDS,502761
82,"Blue Star Ltd",BLUESTARCO,500067
84,"Bombay Burmah Trading Corporation Ltd",BBTC,501425
85,"Bombay Dyeing & Manufacturing Company Ltd",BOMDYEING,500020
88,"Reliance Infrastructure Ltd",RELINFRA,500390
90,"Abbott India Ltd",ABBOTINDIA,500488
92,"Borosil Renewables Ltd",BORORENEW,502219
93,"Britannia Industries Ltd",BRITANNIA,500825
99,"CESC Ltd",CESC,500084
100,"Oriental Aromatics Ltd",OAL,500078
101,"Caprihans India Ltd",CAPRIHANS,509486
102,"Graphite India Ltd",GRAPHITE,509488
103,"Carborundum Universal Ltd",CARBORUNIV,513375
104,"CEAT Ltd",CEATLTD,500878
105,"ITD Cementation India Ltd",ITDCEM,509496
106,"Century Enka Ltd",CENTENKA,500280
107,"Aditya Birla Real Estate Ltd",ABREL,500040
111,"Exide Industries Ltd",EXIDEIND,500086
112,"Chowgule Steamships Ltd",CHOWGULSTM,501833
114,"Cipla Ltd",CIPLA,500087
115,"Citurgia Biochemicals Ltd",CITURGIBIO,506373
117,"DIC India Ltd",DICIND,500089
