id,ttm_ason,mcap,ev,pe,pbv,divyield,eps,book_value,roa_ttm,roe_ttm,roce_ttm,ebit_ttm,ebitda_ttm,ev_sales_ttm,ev_ebitda_ttm,net_income_margin_ttm,gross_income_margin_ttm,asset_turnover_ttm,current_ratio_ttm,debt_equity_ttm,sales_total_assets_ttm,net_debt_ebitda_ttm,ebitda_margin_ttm,total_share_holders_equity_ttm,short_term_debt_ttm,long_term_debt_ttm,shares_outstanding,eps_diluted,net_sales,net_profit,annual_dividend,cogs,peg_ratio_ttm,dividend_payout_ttm,company_id
37,201512,20.32,NULL,0,0,0,0,-0.8712941,-2.4390243902439015,5.5208001,-32.252701,-0.009999999999999995,-0.009999999999999995,NULL,NULL,-11.111111111111107,-11.111111111111107,0.21951219512195122,1.39,-1.17,0.21951219512195122,-81.00000000000003,-11.111111111111107,-0.7000000000000001,0,0.82,0,0,0.09,-0.009999999999999995,0,0,0,0,49
71,202109,2.1,93.6597,0,0,0,0,-20.6006391,-11.397758511313176,22.8321,-28.1146,-9.879999999999999,-8.06,8.237440633245383,-11.62031017369727,-47.405452946350046,-28.935795954265608,0.24043138084161558,0.7188,-1.5865,0.24043138084161558,-8.77791563275434,-70.88830255057168,-44.6,54.69,16.07,21651213,0,11.370000000000001,-5.390000000000001,0,9.25,0,0,81
114,202309,6439.84,6357.35,54.82,4.72,0.87,6.29,73.0285557,7.07313989125657,8.6124,10.6172,155.4,181.96,6.159685686325806,34.93817322488459,11.381759342692984,16.58188723851602,0.6214452158310202,5.8313,0.0723,0.6214452158310202,-0.4533413937129039,17.63024542433315,1363.96,98.19,0.48,186770370,6.29,1032.09,117.47,56.04,614.05,-1.1263898214407537,0,121
131,201906,3.34,-1.5089863,4.81,0.39,55.41,2.44,30.3260933,15.720524017467246,-2.0873,-2.2492,1.66,1.66,-16.766514444444443,-0.9090278915662651,1599.9999999999998,1844.4444444444443,0.00982532751091703,39.8024,0,0.00982532751091703,-2.9216867469879517,1844.4444444444443,8.64,0,0,2850000,2.44,0.09,1.4399999999999997,1.8525,0.49,0,0,137
175,202109,3.06,40.8366,0,0,0,0,-39.2469149,-2.4930747922437675,0.5113,-20.5491,-0.18,-0.18,0,-226.87,0,0,0,1.5299,-1.0249,0,-209.8888888888889,0,-36.89,0,37.81,9400750,0,0,-0.18,0,0,0,0,185
201,202112,64.98,63.3225,12.14,0,0,3.04,-90.0161737,1.3349753694581286,-4.214,-7.077,6.86,7.370000000000001,1.9388395590936927,8.59192672998643,8.297611757501535,9.797917942437232,0.16088669950738915,0.0509,-0.0154,0.16088669950738915,-0.175033921302578,22.565829761175756,-151.09,2.11,0.22,17608802,3.04,32.66,2.710000000000001,0,7.45,-0.06077165613185698,0,210
213,201703,1.7,11.9437,0,0,0,0,-8.9418417,-48.27586206896552,1.2474999,-201.6227,-0.11,-0.09000000000000001,0,-132.70777777777775,0,0,0,0.18,-1,0,-113.77777777777777,0,-10.209999999999999,10.25,0,12380676,0,0,-0.14,0,0,0,0,220
220,202303,505430.17,1072434.45,31.12,3.77,1.6,87.71,724.6490493,2.234442825158677,12.1203,7.9613,56008.78,56284.64,17.821313832660845,19.0537675998283,26.98595993457309,33.71699552670145,0.0828001979761342,0.6027,4.2409,0.0828001979761342,10.073872374416894,93.53170568125036,133984.74,0,568221.88,1851426483,87.71,60177.07,16239.36,8072.02,1025.25,1.9798171119974635,0,230
222,201912,45229.85,41001.13,39.13,10.87,0.98,274.81,989.4816928,18.816716781412342,26.4374,37.9181,1636.3700000000001,1710.4099999999999,8.226006303755971,23.971521448073855,23.189275188440575,34.21202047215975,0.8114404882646841,2.9532,0,0.8114404882646841,-2.4723428885471908,34.315745546542864,4161.76,0,0,42055538,274.81,4984.33,1155.8300000000002,441.63,2044.5700000000002,1.4394341310934913,0,231
249,202006,21.12,NULL,0,0,0,0,-84.0241595,-16.277357606585902,0,0,-24.319999999999997,-24.319999999999997,0,NULL,0,0,0,0.1741,-0.6852,0,-10.774259868421053,0,-396.21,259.4,12.08,54871679,0,0,-24.319999999999997,0,0,0,0,263
